ID,Topic,Scenario,Issue,DecomQ,Sections,CourtCase,Analysis,Flow,Conclusion
FC1,Offer and acceptance ,"Vanessa is a vinyl records store owner. She placed an advertisement on a social media platform selling a limited edition vinyl for the price of $500. On Monday, she receives a call from a customer, Niko, to reserve that vinyl. However, Niko told Vanessa that he is unable to make payment at the moment as he is facing financial difficulties, he then requested Vanessa to keep the vinyl for him for a few more days. Vanessa replied saying that “Fine, I will reserve the vinyl for you until Wednesday 8pm. If I don’t hear from you by then, I will sell the vinyl for someone else”. 

On Tuesday, another customer, Ken, called to purchase that vinyl. He offers $700 to purchase it in which Vanessa accepts. Vanessa then immediately calls Niko to inform him that the vinyl was sold to someone else but his phone was unreachable at the time. Vanessa then sent Niko a text message saying that she sold the vinyl to someone else. Turns out Niko went out of town and his phone was out of service. When he came back to collect the vinyl on Wednesday at 4pm, he was annoyed to find out that the vinyl was sold. Niko now threatens to sue for breach of contract. 
Advise Vanessa as to her liability, if any, to Niko and Ken. ",Was there a valid contract between Vanessa and Niko? ,"Was the advertisement put out by Vanessa an invitation to treat or an offer?
Was there an acceptance on the part of Vanessa? 
Whether Vanessa was bound to keep her offer open until Wednesday 8pm?
Was there a communication/ notice of revocation? ",,,,"Invitation to treat > no absolute and unqualified acceptance > not bound to keep her offer open > revocation was invalid because not done by offeror (Niko). Regardless, there was no valid contract because there is no acceptance in the first place. ",There is no valid contract between Vanessa and Niko.
FC2,Offer and acceptance ,"Dean proposed to sell his skateboard for $400 during a phone call with James. James replied, saying that: “Give me some time to consider it, if you do not hear from me by 5pm today, then you may take it as I accept your proposal.”     

On the same day, Dean called another friend, Matty at 7pm asking him if he was interested in buying his skateboard for $400. Since Matty is a professional skater, he is interested in buying it. However, Dean told him that he had called James earlier and that James was also interested in purchasing the skateboard. Dean told Matty that in order for him to purchase the skateboard, he must pay a higher price than the original price of $400. Matty said he would purchase it at the price of $600, the skateboard was sold to Matty. At 7pm, Matty then informed James that he bought the skateboard from Dean. Dean did not hear from James. ",Whether Dean could be liable for breach of contract. ,"Whether James has accepted Dean’s offer? 
Could Dean communicate his revocation of the offer through a third party (Matty)? 
Did the counter offer destroy the original offer? ",,,,"Accepted > Communication of revocation invalid > Even though there is a counter offer between Dean and Matty, the agreement between Dean and James is still valid because James had already accepted the offer by conduct of not replying",Dean is liable for breach of contract. 
FC3,Offer and acceptance ,"Emma advertised a reward of $100 to whoever found her lost cat. Her friend Danny found the cat, but he had no knowledge of the advertisement and the reward. It was only after Danny returned the cat to Emma, then only he found out that he should be entitled to a reward of $100 because Danny’s friend, Gillian told him about Emma’s advertisement. He sought to claim the reward, but Emma refused to make payment. ",Whether there is a contract between Emma and Danny. ,"Was Emma's advertisement an Invitation to treat or an offer? 
Did Danny accept Emma’s offer? 
Was there a meeting of minds between Emma and Danny?",,,,,"There is a valid contract between Emma and Danny, Emma’s refusal to make payment is a breach of contract. 
"
FC4,Offer & acceptance ,"Alan needed money quickly. He owned an original 1886 edition of Kidnapped by Robert Louis Stevenson, a book which he advertised in the newspaper for sale for $1000. In the advertisement, Alan listed his phone number and stated that ‘anyone who is interested to accept the offer should message his phone number directly’. On 11/4/2023, Cate saw the advertisement and posted a letter to Alan saying that she would buy the book for the price stated in the advertisement. However, Alan who has yet to receive the letter, sold the book to David on the next day. After selling the book, Alan received Cate’s letter of acceptance.  ","whether there is a contract between Alan and Cate. 

",,,,,,
FC5,Offer & acceptance ,"Ellie has lost her beloved cat. She puts an advertisement on her personal blog advertising a reward of RM2000 to anyone who finds her cat. Ellie’s neighbour, Frank who saw her advertisement went out to their neighbourhood to search for the cat and managed to find Ellie’s cat. Frank return the cat to Ellie to claim his reward, but Ellie refused to pay him, arguing that the offer had already been withdrawn. However, there is no notice on Ellie’s blog regarding the withdrawal of advertisement.  ",whether there is a contract between Ellie and Frank.  ,,,,,,
FC6,Offer & acceptance ,"Ellie has lost her beloved cat. She puts an advertisement on her personal blog advertising a reward of RM2000 to anyone who finds her cat. Ellie’s neighbour, Frank, did not see her advertisement but he went on a walk in the neighbourhood and spotted the cat. Frank recognised the cat to be Ellie’s so he picked up the cat to return it to Ellie without expecting a reward. After he returned the cat to Ellie, his roommates showed him Ellie’s advertisement and upon seeing the advertisement he realised he had missed out on the reward. On the next day, Frank went to see Ellie with the hope of claiming the reward but Ellie refused to pay him.  ",whether there is a valid contract between Ellie and Frank.  ,,,,,,
FC7,Offer & acceptance ,"Michelle is in need of money, she wanted to sell a vintage jewelry passed down by her grandmother. She offered to sell her vintage jewelry to her friend Alice at RM2000. Alice said that she would think about it. Michelle then told Alice that she would keep the offer open for 5 days. 2 days later, Alice learned that Michelle’s vintage jewelry is actually worth up to RM5000 at market price and wishes to accept the offer. However, Michelle has already sold the jewelry off to another friend. Alice argued that Michelle is in breach of contract as she has promised to keep the offer open for 5 days.  ",whether there is a valid contract between Michelle and Alice. ,,,,,,
FC8,Consideration ,"X has been suffering from a chronic disease for a period of time, so she decided to allocate her shares and make registrations accordingly before she dies. In the written document, X intends to transfer every property that she has to her son before death. She also wishes to transfer a car to a close friend of hers, as they have been very good friends since many years ago. ",Was the document valid as a contract? ,"Was there a consideration? 
Was the requirements under S.26(a) satisfied? 
Will the son receive an automatic entitlement? 
Will the close friend receive an automatic entitlement? ",,,,"No consideration, but falls under the first exception of S.26(a) (love and affection) > First two requirements satisfied, third and fourth requirements not satisfied > son will receive due to love + near relations > close friend will not receive even though there might be natural love and affection due to friendship, but does not satisfy the definition of near relations.
","The document is only valid as a contract regarding the transfer to the son, the transfer to close friend is invalid. "
FC9,Consideration ,"Steve wants to buy a house from Fred. The bungalow that Steve intended to buy is at the price of $500,000. Due to past business dealings, Fred offered to sell the house to Steve at a lower price of $450,000, but Fred orally mentioned that Steve will only be eligible to this discounted price if Steve promises to clean the house. Since Steve was currently facing financial difficulties, he agreed to clean the house in order to obtain the house at a lower price. 

Meanwhile, Steve also approached Jane to purchase some furniture for his future house. Steve appealed to Jane to accept $200 for a couch which was originally priced at $300 as full settlement. Jane in her usual display of charity accepted the smaller sum. 

After Steve finished cleaning the house and approached Fred again to inform him that he was ready to purchase the bungalow at $450,000, Fred changed his mind and refused to transfer the house to Steve unless Steve paid the original amount of $500,000 to buy the house. Jane later thinks that Steve always takes kindness for granted and now she wants full payment of the couch. Steve now sue for specific performance. ",Whether Steve and Jane can change their mind and demand repayment of the whole payment.,"Whether Fred’s promise to discount the price was supported by considerations? 
Does cleaning the house amount to sufficient considerations? 
Was Jane’s promise to accept $200 supported by considerations? 
Does $200 amount to sufficient consideration? ",,,,"It is supported by consideration [Steve’s promise to clean the house] > It is sufficient S.24, a promise in exchange for a promise > It is supported by consideration as payment of a lesser sum is a good consideration > amounted to sufficient consideration [s.64 CA] ",Steve and Jane cannot change their mind and demand repayment of the whole payment. 
FC10,Consideration ,"Kim hired a part time maid named Fatihah, and she was under a Maid Agency called MA company. She would come to Kim’s house every Wednesday for 3 hours to clean her house, and Kim would pay her $80 once she completed her work. 
In her prescribed job scope, Kim wanted her to clean the 4 bedrooms in the house, trim the grass in the backyard as well as cleaning the kitchen.
Last Wednesday, Fatihah helped Kim to wash her car and made her lunch as she had already completed her job. Since this was not in the job scope, Fatihah sought for an additional $20 as she had done something over and above her prescribed job scope. Kim refused to pay the additional $20, MA now sought to sue Kim for not paying Fatihah’s extra work. ",Whether Fatihah’s extra work is supported by valid considerations,"Does Fatihah’s action amount to a past consideration? 
Was Fatihah’s action under the request of the promisor (Kim)?
Does Fatihah’s action (of washing the car and making her lunch) amount to valid consideration in order for her to claim the extra $20? ",,,,It amounts to a past consideration (performance first) > The extra work done was not under the request of the promisor > Does not amount to a valid consideration ,"Fatihah’s extra work was not supported by valid considerations, she is unable to claim the extra $20. "
